timestamp,value,variable
1785001901446,,current_a
1785001901446,,current_b
1785001901446,,current_c
1785001901446,0.01611328125,current_a
1785001901448,0.008056640625,current_a
1785001901448,0.01611328125,current_a
1785001901449,0.024169921875,current_a
1785001901449,0.024169921875,current_a
1785001901450,0.008056640625,current_a
1785001901450,0.024169921875,current_a
1785001901450,0.01611328125,current_a
1785001901451,0.008056640625,current_a
1785001901451,0.01611328125,current_a
1785001901452,0,current_a
1785001901453,0.008056640625,current_a
1785001901454,0,current_a
1785001901455,0,current_a
1785001901456,0.008056640625,current_a
1785001901457,0,current_a
1785001901458,-0.008056640625,current_a
1785001901459,-0.008056640625,current_a
1785001901460,-0.008056640625,current_a
1785001901461,-0.024169921875,current_a
1785001901462,-0.024169921875,current_a
1785001901463,-0.040283203125,current_a
1785001901464,-0.0322265625,current_a
1785001901465,-0.040283203125,current_a
1785001901466,-0.0322265625,current_a
1785001901467,-0.0322265625,current_a
1785001901468,-0.0322265625,current_a
1785001901469,-0.04833984375,current_a
1785001901470,-0.040283203125,current_a
1785001901471,-0.040283203125,current_a
1785001901472,-0.040283203125,current_a
1785001901473,-0.040283203125,current_a
1785001901474,-0.040283203125,current_a
1785001901475,-0.040283203125,current_a
1785001901476,-0.01611328125,current_a
1785001901477,-0.0322265625,current_a
1785001901478,-0.024169921875,current_a
1785001901479,-0.008056640625,current_a
1785001901480,-0.024169921875,current_a
1785001901481,-0.0322265625,current_a
1785001901482,-0.008056640625,current_a
1785001901483,-0.01611328125,current_a
1785001901484,-0.01611328125,current_a
1785001901485,0,current_a
1785001901486,0,current_a
1785001901487,-0.008056640625,current_a
1785001901488,0.024169921875,current_a
1785001901489,0.008056640625,current_a
1785001901490,0.008056640625,current_a
1785001901491,0.01611328125,current_a
1785001901492,0.008056640625,current_a
1785001901493,0.01611328125,current_a
1785001901494,0.008056640625,current_a
1785001901495,0.024169921875,current_a
1785001901496,0.008056640625,current_a
1785001901497,-0.008056640625,current_a
1785001901498,0.0322265625,current_a
1785001901446,-0.024169921875,current_b
1785001901448,-0.008056640625,current_b
1785001901448,-0.024169921875,current_b
1785001901449,-0.024169921875,current_b
1785001901449,-0.008056640625,current_b
1785001901450,-0.024169921875,current_b
1785001901450,-0.0322265625,current_b
1785001901450,-0.0322265625,current_b
1785001901451,-0.024169921875,current_b
1785001901451,-0.024169921875,current_b
1785001901452,-0.040283203125,current_b
1785001901453,-0.024169921875,current_b
1785001901454,-0.01611328125,current_b
1785001901455,-0.0322265625,current_b
1785001901456,-0.01611328125,current_b
1785001901457,-0.0322265625,current_b
1785001901458,-0.024169921875,current_b
1785001901459,-0.024169921875,current_b
1785001901460,-0.0322265625,current_b
1785001901461,-0.008056640625,current_b
1785001901462,-0.008056640625,current_b
1785001901463,-0.008056640625,current_b
1785001901464,-0.008056640625,current_b
1785001901465,0,current_b
1785001901466,-0.008056640625,current_b
1785001901467,0,current_b
1785001901468,0,current_b
1785001901469,0,current_b
1785001901470,0,current_b
1785001901471,0.024169921875,current_b
1785001901472,0.01611328125,current_b
1785001901473,0.01611328125,current_b
1785001901474,0.008056640625,current_b
1785001901475,0.008056640625,current_b
1785001901476,0.0322265625,current_b
1785001901477,0.024169921875,current_b
1785001901478,0.01611328125,current_b
1785001901479,0.024169921875,current_b
1785001901480,0.040283203125,current_b
1785001901481,0,current_b
1785001901482,0.024169921875,current_b
1785001901483,0.01611328125,current_b
1785001901484,0.008056640625,current_b
1785001901485,0.024169921875,current_b
1785001901486,0.024169921875,current_b
1785001901487,0,current_b
1785001901488,0.008056640625,current_b
1785001901489,-0.008056640625,current_b
1785001901490,0,current_b
1785001901491,0.008056640625,current_b
1785001901492,-0.008056640625,current_b
1785001901493,-0.008056640625,current_b
1785001901494,-0.008056640625,current_b
1785001901495,-0.024169921875,current_b
1785001901496,-0.01611328125,current_b
1785001901497,-0.01611328125,current_b
1785001901498,-0.024169921875,current_b
1785001901446,-0.040283203125,current_c
1785001901448,-0.024169921875,current_c
1785001901448,-0.01611328125,current_c
1785001901449,-0.01611328125,current_c
1785001901449,-0.0322265625,current_c
1785001901450,0,current_c
1785001901450,-0.008056640625,current_c
1785001901450,0,current_c
1785001901451,-0.008056640625,current_c
1785001901451,0.008056640625,current_c
1785001901452,0,current_c
1785001901453,-0.008056640625,current_c
